GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Escuela,es.iespuertolacruz.daniel.Exception,ProfesorException,9,0,0,0,4,0,2,0,2,0
Escuela,es.iespuertolacruz.daniel.Exception,NotaException,9,0,0,0,4,0,2,0,2,0
Escuela,es.iespuertolacruz.daniel.Exception,AlumnoException,9,0,0,0,4,0,2,0,2,0
Escuela,es.iespuertolacruz.daniel.Exception,AulaException,9,0,0,0,4,0,2,0,2,0
Escuela,es.iespuertolacruz.daniel,Nota,10,40,4,4,1,12,3,6,0,5
Escuela,es.iespuertolacruz.daniel,Persona,0,12,0,0,0,5,0,1,0,1
Escuela,es.iespuertolacruz.daniel,Alumno,13,47,2,4,3,15,3,8,1,7
Escuela,es.iespuertolacruz.daniel,Gestion,52,177,13,17,12,49,17,16,4,14
Escuela,es.iespuertolacruz.daniel,Aula,15,39,6,4,1,13,4,6,0,5
Escuela,es.iespuertolacruz.daniel,Profesor,2,38,1,3,1,12,1,7,0,6
